Name;Date;Opponent;League;IP;B;S;TP;Hits;BB;HBP;K;WP;PB;ER;PkO
Tomita;16/06/2025;Dragons;LCB;3.0;13;21;34;5;2;1;5;2;0;3;0
Flores;16/06/2025;Dragons;LCB;1.33;14;8;22;0;3;2;1;5;0;3;0
Daniel;16/06/2025;Dragons;LCB;1.67;1;1;2;0;0;0;0;0;0;0;0
Marcio;16/06/2025;Piratas;LCB;3.00;11;14;25;0;0;0;4;0;0;0;0
G. Lombardi;16/06/2025;Piratas;LCB;1.00;12;8;20;2;1;0;0;1;0;1;0
